cpusnort,psize,tcpflows,ratep,tput
3,64,32000,500,22
3,64,32000,1000,44
3,64,32000,1500,66
3,64,32000,2000,88
3,64,32000,2500,111
3,64,32000,3000,133
3,128,256,500,44
3,128,256,1000,88
3,128,256,1500,133
3,128,256,2000,177
3,128,256,2500,221
3,128,256,3000,265
3,128,1000,500,44
3,128,1000,1000,88
3,128,1000,1500,133
3,128,1000,2000,177
3,128,1000,2500,221
3,128,1000,3000,265
3,128,4000,500,44
3,128,4000,1000,88
3,128,4000,1500,133
3,128,4000,2000,177
3,128,4000,2500,221
3,128,4000,3000,265
3,128,8000,500,44
3,128,8000,1000,88
3,128,8000,1500,133
3,128,8000,2000,177
3,128,8000,2500,221
3,128,8000,3000,265
3,128,16000,500,44
3,128,16000,1000,89
3,128,16000,1500,133
3,128,16000,2000,177
3,128,16000,2500,221
3,128,16000,3000,265
3,128,32000,500,44
3,128,32000,1000,88
3,128,32000,1500,133
3,128,32000,2000,177
3,128,32000,2500,221
3,128,32000,3000,265
3,256,256,500,88
3,256,256,1000,177
3,256,256,1500,266
3,256,256,2000,354
3,256,256,2500,442
3,256,256,3000,531
3,256,1000,500,88
3,256,1000,1000,177
3,256,1000,1500,265
3,256,1000,2000,354
3,256,1000,2500,443
3,256,1000,3000,531
3,256,4000,500,88
3,256,4000,1000,177
3,256,4000,1500,266
3,256,4000,2000,354
3,256,4000,2500,443
3,256,4000,3000,531
3,256,8000,500,88
3,256,8000,1000,177
3,256,8000,1500,266
3,256,8000,2000,354
3,256,8000,2500,442
3,256,8000,3000,531
3,256,16000,500,88
3,256,16000,1000,177
3,256,16000,1500,265
3,256,16000,2000,354
3,256,16000,2500,442
3,256,16000,3000,531
3,256,32000,500,88
3,256,32000,1000,177
3,256,32000,1500,265
3,256,32000,2000,354
3,256,32000,2500,442
3,256,32000,3000,531
3,512,256,500,177
3,512,256,1000,354
3,512,256,1500,531
3,512,256,2000,707
3,512,256,2500,885
3,512,256,3000,1061
3,512,1000,500,177
3,512,1000,1000,354
3,512,1000,1500,531
3,512,1000,2000,707
3,512,1000,2500,885
3,512,1000,3000,1061
3,512,4000,500,177
3,512,4000,1000,354
3,512,4000,1500,531
3,512,4000,2000,707
3,512,4000,2500,884
3,512,4000,3000,979
3,512,8000,500,179
3,512,8000,1000,354
3,512,8000,1500,531
3,512,8000,2000,708
3,512,8000,2500,884
3,512,8000,3000,1061
3,512,16000,500,177
3,512,16000,1000,354
3,512,16000,1500,531
3,512,16000,2000,707
3,512,16000,2500,884
3,512,16000,3000,1061
3,512,32000,500,177
3,512,32000,1000,354
3,512,32000,1500,531
3,512,32000,2000,707
3,512,32000,2500,885
3,512,32000,3000,1061
3,1024,256,500,354
3,1024,256,1000,708
3,1024,256,1500,1061
3,1024,256,2000,1415
3,1024,256,2500,1770
3,1024,256,3000,2122
3,1024,1000,500,354
3,1024,1000,1000,708
3,1024,1000,1500,1061
3,1024,1000,2000,1416
3,1024,1000,2500,1768
3,1024,1000,3000,2122
3,1024,4000,500,354
3,1024,4000,1000,708
3,1024,4000,1500,1062
3,1024,4000,2000,1415
3,1024,4000,2500,1770
3,1024,4000,3000,2122
3,1024,8000,500,354
3,1024,8000,1000,708
3,1024,8000,1500,1062
3,1024,8000,2000,1415
3,1024,8000,2500,1769
3,1024,8000,3000,2123
3,1024,16000,500,354
3,1024,16000,1000,707
3,1024,16000,1500,1061
3,1024,16000,2000,1415
3,1024,16000,2500,1769
3,1024,16000,3000,2122
3,1024,32000,500,354
3,1024,32000,1000,707
3,1024,32000,1500,1062
3,1024,32000,2000,1415
3,1024,32000,2500,1770
3,1024,32000,3000,2123
